consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,click_action_2.rt,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,resp4.rt,resp4_3.keys,resp4_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,key_resp_36.keys,key_resp_36.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_reval_choice_2.keys,transition_reval_choice_2.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.652,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.402,,0,104,104,104,1,planet.png,unicorn.png,window.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.536,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.202,,0,105,105,105,1,planet.png,tree.png,snorkel.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.387,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.368,,0,106,106,106,1,planet.png,bell.png,tophat.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.368,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.321,,0,107,107,107,1,planet.png,tree.png,snorkel.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.383,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.386,,0,108,108,108,1,trident.png,fox.png,apple.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.384,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.302,,0,109,109,109,1,trident.png,bell.png,train.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.402,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.235,,0,110,110,110,1,trident.png,fox.png,hammer.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.284,1,0,111,111,111,1,planet.png,tree.png,snorkel.png,9,8,1.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.635,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.636,,0,112,112,112,1,trident.png,fox.png,apple.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.639,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.383,,0,113,113,113,1,trident.png,fox.png,apple.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.603,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.203,,0,114,114,114,1,planet.png,bell.png,tophat.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.368,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.319,,0,115,115,115,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.569,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.169,,0,116,116,116,1,planet.png,bell.png,tophat.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.368,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.453,,0,117,117,117,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.435,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.254,,0,118,118,118,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.335,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.251,,0,119,119,119,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.303,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.367,,0,120,120,120,1,trident.png,fox.png,hammer.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.655,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.233,,0,121,121,121,1,planet.png,tree.png,snorkel.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.651,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.354,,0,122,122,122,1,planet.png,tree.png,north.png,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.372,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.433,,0,123,123,123,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.268,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.269,,0,124,124,124,1,trident.png,tree.png,snorkel.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.586,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.186,,0,125,125,125,1,planet.png,tree.png,snorkel.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.418,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.186,,0,126,126,126,1,planet.png,bell.png,tophat.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.402,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.199,,0,127,127,127,1,planet.png,tree.png,snorkel.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.402,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.402,,0,128,128,128,1,trident.png,fox.png,apple.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.669,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.368,,0,129,129,129,1,planet.png,unicorn.png,window.png,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.469,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.251,,0,130,130,130,1,trident.png,fox.png,hammer.png,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.333,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.536,,0,131,131,131,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.503,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_14h58.33.847,study5_pr_2,2022.2.5,Win32,59.95203837,5fa07dede702970d23d31333,64944c9a5850536c27178b39,64945377fa50054da7cbe306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0.202,,0,132,132,132,1,planet.png,bell.png,tophat.png,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
