consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.746,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,426,426,426,1,trident.png,tree.png,north.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.619,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,427,427,427,1,trident.png,fox.png,hammer.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.716,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,428,428,428,1,trident.png,fox.png,apple.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.644,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,429,429,429,1,trident.png,bell.png,tophat.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.864,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,430,430,430,1,trident.png,fox.png,hammer.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.97,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,431,431,431,1,trident.png,bell.png,train.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.621,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,432,432,432,1,trident.png,tree.png,north.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,433,433,433,1,planet.png,tree.png,snorkel.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.954,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,434,434,434,1,planet.png,watch.png,houses.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.722,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,435,435,435,1,trident.png,fox.png,apple.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.67,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,436,436,436,1,trident.png,tree.png,snorkel.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.671,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,437,437,437,1,trident.png,tree.png,north.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.774,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,438,438,438,1,trident.png,bell.png,tophat.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.269,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,439,439,439,1,trident.png,tree.png,north.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.927,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,440,440,440,1,trident.png,fox.png,hammer.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.943,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,441,441,441,1,trident.png,tree.png,north.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.689,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,442,442,442,1,trident.png,fox.png,apple.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.582,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,443,443,443,1,trident.png,tree.png,north.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.926,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,444,444,444,1,trident.png,fox.png,hammer.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2.589,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,445,445,445,1,trident.png,tree.png,snorkel.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.469,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,446,446,446,1,trident.png,bell.png,tophat.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1.514,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,447,447,447,1,planet.png,tree.png,north.png,9,1.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.573,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,448,448,448,1,trident.png,bell.png,train.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.932,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,449,449,449,1,planet.png,bell.png,tophat.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1.005,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,450,450,450,1,planet.png,tree.png,north.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.872,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,451,451,451,1,planet.png,tree.png,north.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3.414,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,452,452,452,1,trident.png,bell.png,train.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0.952,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,453,453,453,1,planet.png,tree.png,north.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.672,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,454,454,454,1,trident.png,bell.png,train.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,455,455,455,1,planet.png,bell.png,tophat.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5d00bb3b51669b000136a986,001,2022-11-23_11h09.39.470,study2,2021.1.3,Win32,62.42197253,5d00bb3b51669b000136a986,637dc7c88c01b3975e7366f5,637ded97de287134b5a236f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.836,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
